2009 WL 82715
651 F.3d 684 (7th Cir. 2011)
658 F.3d 110
660 F.3d 307 (8th Cir. 2011)
665 F.3d 588
666 F.3d 154
666 F.3d 220
666 F.3d 313
666 F.3d 45 (1st Cir. 2012)
"668 F.3d 119, 2012 WL 336151"
669 F.3d 411
670 F.3d 1244 (D.C. Cir. 2011)
671 F.3d 649
"678 F.3d 1164 (10th Cir. May 7, 2012)"
679 F.3d 510
681 F.3d 1041
682 F.3d 160
686 F.3d 90
688 F.3d 637
690 F.3d 215
693 F.3d 61
695 F.3d 577
701 F.3d 574 (8th Cir. 2012)
701 F.3d 81
701 F.3d 974 (4th Cir. 2012)
702 F.3d 933
"703 F.3d 242 (4th Cir. Dec. 31, 2012)"
"703 F.3d 668 (4th Cir. Dec. 31, 2012)"
704 F.3d 980 (D.C. Cir. 2013)
706 F.3d 1 (1st Cir. 2013)
707 F.3d 1197 (10th Cir. 2013)
711 F.3d 364
712 F.3d 865
723 F.3d 160
724 F.3d 426 (3rd Cir. 2013)
735 F.3d 1127
746 F.3d 953
759 F.3d 1043 (9th Cir. 2014)
762 F.3d 297
775 F.3d 308
779 F.3d 991
783 F.3d 332
784 F.3d 406 (7th Cir. 2015)
789 F.3d 733
798 F.3d 664
801 F.3d 264
804 F.3d 242 (2d Cir. 2015)
808 F.3d 1126
813 F.3d 160
